State,x,y
Andhra Pradesh,-62,-135
Arunachal Pradesh,183,83
Assam,162,51
Bihar,58,39
Chhattisgarh,-11,-30
Goa,-131,-130
Gujarat,-171,-4
Haryana,-94,103
Himachal Pradesh,-82,146
Kashmir,-112,182
Jharkhand,43,7
Karnataka,-104,-148
Kerala,-92,-210
Madhya Pradesh,-78,-4
Maharashtra,-112,-71
Manipur,178,27
Meghalaya,140,38
Mizoram,163,4
Nagaland,190,51
Odisha,40,-41
Punjab,-113,133
Rajasthan,-138,62
Sikkim,93,73
Tamil Nadu,-66,-197
Telangana,-54,-87
Tripura,143,7
Uttarakhand,-53,124
Uttar Pradesh,-31,65
West Bengal,84,0
